repo,age,language,releases,pull_requests,closed_issues,total_issues,closed_issues_ratio,last_update_days,pushed_at,created_at,stars,forks,watchers,collaborators
huggingface/transformers,6,Python,182,14747,15812,16838,0.9390663974343746,0,2025-03-13T23:07:57Z,2018-10-29T13:56:00Z,141159,28274,1139,0
avelino/awesome-go,10,Go,0,3403,665,670,0.9925373134328358,0,2025-03-13T23:42:06Z,2014-07-06T13:42:15Z,139700,12147,2818,0
ytdl-org/youtube-dl,14,Python,341,1641,23006,26695,0.8618093275894362,0,2025-03-13T22:40:08Z,2010-10-31T14:35:07Z,134639,10240,2182,0
ollama/ollama,1,Go,117,2101,4945,6381,0.7749569033066918,0,2025-03-13T23:52:39Z,2023-06-26T19:39:32Z,132755,10953,743,0
vercel/next.js,8,JavaScript,1000,21229,20010,22563,0.8868501529051988,0,2025-03-13T23:41:37Z,2016-10-05T23:32:51Z,130159,27882,1471,0
labuladong/fucking-algorithm,5,Markdown,1,238,890,891,0.9988776655443322,0,2025-03-13T21:37:10Z,2020-02-19T09:01:23Z,127180,23321,2286,0
golang/go,10,Go,0,1,56703,65917,0.860218153131969,0,2025-03-13T23:44:54Z,2014-08-19T04:33:40Z,126415,17939,3377,0
massgravel/Microsoft-Activation-Scripts,5,Batchfile,19,6,588,589,0.99830220713073,0,2025-03-13T23:39:02Z,2020-01-12T23:03:34Z,125193,12173,1156,0
Chalarangelo/30-seconds-of-code,7,JavaScript,11,821,296,296,1.0,0,2025-03-13T23:44:10Z,2017-11-29T17:35:03Z,123047,12114,2597,0
yangshun/tech-interview-handbook,8,TypeScript,0,466,70,108,0.6481481481481481,0,2025-03-13T21:49:12Z,2016-07-05T05:00:48Z,122806,15086,2145,0
f/awesome-chatgpt-prompts,2,HTML,0,158,0,0,0,0,2025-03-13T23:49:54Z,2022-12-05T13:54:13Z,121510,16326,1458,0
facebook/react-native,10,C++,377,892,26126,26720,0.9777694610778443,0,2025-03-13T20:38:30Z,2015-01-09T18:10:16Z,121027,24551,3594,0
Genymobile/scrcpy,7,C,44,109,3037,5269,0.5763902068703739,0,2025-03-13T23:41:43Z,2017-11-21T18:00:27Z,118959,11243,1278,0
microsoft/PowerToys,5,C#,110,5123,25903,31833,0.8137153268620614,0,2025-03-13T23:44:15Z,2019-05-01T17:44:02Z,116195,6847,1153,0
electron/electron,11,C++,1000,21742,19753,20617,0.9580928360091187,0,2025-03-13T23:40:46Z,2013-04-12T01:47:36Z,115823,15882,2821,0
kubernetes/kubernetes,10,Go,728,60975,44911,46805,0.9595342377951074,0,2025-03-13T23:06:02Z,2014-06-06T22:56:04Z,113662,40402,3212,0
justjavac/free-programming-books-zh_CN,11,Unknown,3,282,0,0,0,0,2025-03-13T22:52:57Z,2013-11-04T01:59:19Z,112871,28268,5882,0
nodejs/node,10,JavaScript,432,9887,17226,18870,0.9128775834658187,0,2025-03-13T23:39:20Z,2014-11-26T19:57:11Z,110120,30949,2945,0
krahets/hello-algo,2,Java,9,915,235,256,0.91796875,0,2025-03-13T23:43:49Z,2022-11-04T11:08:34Z,110059,13697,572,0
d3/d3,14,Shell,194,492,2215,2223,0.9964012595591543,0,2025-03-13T19:35:18Z,2010-09-27T17:22:42Z,110037,22865,3602,0
axios/axios,10,JavaScript,91,947,4210,4775,0.881675392670157,0,2025-03-13T23:08:13Z,2014-08-18T22:30:27Z,106508,11031,1184,0
mrdoob/three.js,14,JavaScript,166,13808,12446,12885,0.9659293752425301,0,2025-03-13T23:53:56Z,2010-03-23T18:58:01Z,104932,35599,2543,0
yt-dlp/yt-dlp,4,Python,104,2549,7295,8824,0.8267225747960109,0,2025-03-13T23:52:47Z,2020-10-26T04:22:55Z,103987,8153,571,0
langchain-ai/langchain,2,Jupyter Notebook,825,13334,7948,8283,0.9595557165278281,0,2025-03-13T23:10:09Z,2022-10-17T02:58:36Z,103183,16708,730,0
microsoft/TypeScript,10,TypeScript,208,14562,36250,41808,0.8670589360887868,0,2025-03-13T23:48:51Z,2014-06-17T15:28:39Z,103143,12724,2157,0
facebook/create-react-app,8,JavaScript,83,1949,6563,8376,0.7835482330468004,0,2025-03-13T22:01:45Z,2016-07-17T14:55:11Z,103107,26987,1903,0
denoland/deno,6,Rust,314,12451,10250,12242,0.8372814899526221,0,2025-03-13T21:50:16Z,2018-05-15T01:34:26Z,102153,5511,1406,0
goldbergyoni/nodebestpractices,7,Dockerfile,0,765,284,327,0.8685015290519877,0,2025-03-13T19:39:29Z,2017-09-15T08:33:19Z,102039,10357,1944,0
rust-lang/rust,14,Rust,135,61850,46914,57013,0.8228649606230158,0,2025-03-13T23:36:35Z,2010-06-16T20:39:03Z,101942,13200,1477,0
521xueweihan/HelloGitHub,8,Python,52,17,2566,2763,0.9287006876583423,0,2025-03-13T23:42:07Z,2016-05-04T06:24:11Z,99648,9835,3098,0
microsoft/terminal,7,C++,128,4044,11546,13151,0.8779560489696601,0,2025-03-13T23:39:35Z,2017-08-11T18:38:22Z,97375,8479,1329,0
angular/angular,10,TypeScript,414,3709,27328,28839,0.9476056728735393,0,2025-03-13T22:49:13Z,2014-09-18T16:12:01Z,97190,25977,3009,0
godotengine/godot,11,C++,59,36572,44107,55622,0.7929775987918449,0,2025-03-13T23:14:42Z,2014-01-04T16:05:36Z,95113,21893,1507,0
mui/material-ui,10,TypeScript,528,20011,18194,19880,0.9151911468812878,0,2025-03-13T23:17:09Z,2014-08-18T19:11:54Z,95024,32516,1334,0
